"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,25/11/17,AC Chievo Verona,SPAL Ferrara,2,1,H"
"E0,25/11/17,Cagliari Calcio,FC Internazionale Milano,1,3,A"
"E0,26/11/17,AC Milan,Torino FC,0,0,D"
"E0,26/11/17,Genoa CFC,AS Roma,1,1,D"
"E0,26/11/17,Udinese Calcio,SSC Napoli,0,1,A"
"E0,26/11/17,SS Lazio,ACF Fiorentina,1,1,D"
"E0,26/11/17,Juventus Turin,FC Crotone,3,0,H"
"E0,27/11/17,Atalanta BC,Benevento Calcio,1,0,H"
"E0,01/12/17,AS Roma,SPAL Ferrara,3,1,H"
"E0,01/12/17,SSC Napoli,Juventus Turin,0,1,A"
"E0,02/12/17,Torino FC,Atalanta BC,1,1,D"
"E0,03/12/17,Benevento Calcio,AC Milan,2,2,D"
"E0,03/12/17,FC Internazionale Milano,AC Chievo Verona,5,0,H"
"E0,03/12/17,Bologna FC,Cagliari Calcio,1,1,D"
"E0,03/12/17,ACF Fiorentina,US Sassuolo Calcio,3,0,H"
"E0,03/12/17,UC Sampdoria,SS Lazio,1,2,A"
"E0,04/12/17,FC Crotone,Udinese Calcio,0,3,A"
"E0,04/12/17,Hellas Verona FC,Genoa CFC,0,1,A"
"E0,09/12/17,Cagliari Calcio,UC Sampdoria,2,2,D"
"E0,09/12/17,Juventus Turin,FC Internazionale Milano,0,0,D"
"E0,10/12/17,AC Chievo Verona,AS Roma,0,0,D"
"E0,10/12/17,SPAL Ferrara,Hellas Verona FC,2,2,D"
"E0,10/12/17,SSC Napoli,ACF Fiorentina,0,0,D"
"E0,10/12/17,Udinese Calcio,Benevento Calcio,2,0,H"
"E0,10/12/17,US Sassuolo Calcio,FC Crotone,2,1,H"
"E0,10/12/17,AC Milan,Bologna FC,2,1,H"
"E0,11/12/17,SS Lazio,Torino FC,1,3,A"
"E0,12/12/17,Genoa CFC,Atalanta BC,1,2,A"
"E0,16/12/17,FC Internazionale Milano,Udinese Calcio,1,3,A"
"E0,16/12/17,Torino FC,SSC Napoli,1,3,A"
"E0,16/12/17,AS Roma,Cagliari Calcio,1,0,H"
"E0,17/12/17,Hellas Verona FC,AC Milan,3,0,H"
"E0,17/12/17,UC Sampdoria,US Sassuolo Calcio,0,1,A"
"E0,17/12/17,ACF Fiorentina,Genoa CFC,0,0,D"
"E0,17/12/17,FC Crotone,AC Chievo Verona,1,0,H"
"E0,17/12/17,Bologna FC,Juventus Turin,0,3,A"
"E0,17/12/17,Benevento Calcio,SPAL Ferrara,1,2,A"
"E0,17/12/17,Atalanta BC,SS Lazio,3,3,D"
"E0,22/12/17,AC Chievo Verona,Bologna FC,2,3,A"
"E0,22/12/17,Cagliari Calcio,ACF Fiorentina,0,1,A"
"E0,23/12/17,SS Lazio,FC Crotone,4,0,H"
"E0,23/12/17,SSC Napoli,UC Sampdoria,3,2,H"
"E0,23/12/17,Udinese Calcio,Hellas Verona FC,4,0,H"
"E0,23/12/17,SPAL Ferrara,Torino FC,2,2,D"
"E0,23/12/17,Genoa CFC,Benevento Calcio,1,0,H"
"E0,23/12/17,US Sassuolo Calcio,FC Internazionale Milano,1,0,H"
"E0,23/12/17,AC Milan,Atalanta BC,0,2,A"
"E0,23/12/17,Juventus Turin,AS Roma,1,0,H"
"E0,29/12/17,FC Crotone,SSC Napoli,,,"
"E0,30/12/17,ACF Fiorentina,AC Milan,,,"
"E0,30/12/17,Benevento Calcio,AC Chievo Verona,,,"
"E0,30/12/17,Bologna FC,Udinese Calcio,,,"
"E0,30/12/17,AS Roma,US Sassuolo Calcio,,,"
"E0,30/12/17,UC Sampdoria,SPAL Ferrara,,,"
"E0,30/12/17,Torino FC,Genoa CFC,,,"
"E0,30/12/17,Atalanta BC,Cagliari Calcio,,,"
"E0,30/12/17,FC Internazionale Milano,SS Lazio,,,"
"E0,30/12/17,Hellas Verona FC,Juventus Turin,,,"
"E0,05/01/18,AC Chievo Verona,Udinese Calcio,,,"
"E0,05/01/18,ACF Fiorentina,FC Internazionale Milano,,,"
"E0,06/01/18,Torino FC,Bologna FC,,,"
"E0,06/01/18,AC Milan,FC Crotone,,,"
"E0,06/01/18,Benevento Calcio,UC Sampdoria,,,"
"E0,06/01/18,SPAL Ferrara,SS Lazio,,,"
"E0,06/01/18,SSC Napoli,Hellas Verona FC,,,"
"E0,06/01/18,Genoa CFC,US Sassuolo Calcio,,,"
"E0,06/01/18,AS Roma,Atalanta BC,,,"
"E0,06/01/18,Cagliari Calcio,Juventus Turin,,,"
"E0,21/01/18,Atalanta BC,SSC Napoli,,,"
"E0,21/01/18,Bologna FC,Benevento Calcio,,,"
"E0,21/01/18,Hellas Verona FC,FC Crotone,,,"
"E0,21/01/18,SS Lazio,AC Chievo Verona,,,"
"E0,21/01/18,UC Sampdoria,ACF Fiorentina,,,"
"E0,21/01/18,US Sassuolo Calcio,Torino FC,,,"
"E0,21/01/18,Udinese Calcio,SPAL Ferrara,,,"
"E0,21/01/18,Cagliari Calcio,AC Milan,,,"
"E0,21/01/18,FC Internazionale Milano,AS Roma,,,"
"E0,22/01/18,Juventus Turin,Genoa CFC,,,"
"E0,24/01/18,SS Lazio,Udinese Calcio,,,"
"E0,24/01/18,UC Sampdoria,AS Roma,,,"
"E0,28/01/18,AC Chievo Verona,Juventus Turin,,,"
"E0,28/01/18,FC Crotone,Cagliari Calcio,,,"
"E0,28/01/18,ACF Fiorentina,Hellas Verona FC,,,"
"E0,28/01/18,Genoa CFC,Udinese Calcio,,,"
"E0,28/01/18,AC Milan,SS Lazio,,,"
"E0,28/01/18,SPAL Ferrara,FC Internazionale Milano,,,"
"E0,28/01/18,Torino FC,Benevento Calcio,,,"
"E0,28/01/18,US Sassuolo Calcio,Atalanta BC,,,"
"E0,28/01/18,AS Roma,UC Sampdoria,,,"
"E0,28/01/18,SSC Napoli,Bologna FC,,,"
"E0,04/02/18,Atalanta BC,AC Chievo Verona,,,"
"E0,04/02/18,Benevento Calcio,SSC Napoli,,,"
