"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,05/11/17,AS Saint-Étienne,Olympique Lyonnais,0,5,A"
"E0,17/11/17,OSC Lille,AS Saint-Étienne,3,1,H"
"E0,17/11/17,Amiens SC,AS Monaco FC,1,1,D"
"E0,18/11/17,Paris Saint-Germain,FC Nantes,4,1,H"
"E0,18/11/17,RC Strasbourg Alsace,Stade Rennais FC,2,1,H"
"E0,18/11/17,EA Guingamp,Angers SCO,1,1,D"
"E0,18/11/17,Dijon FCO,ES Troyes AC,3,1,H"
"E0,18/11/17,Toulouse FC,FC Metz,0,0,D"
"E0,19/11/17,SM Caen,OGC Nice,1,1,D"
"E0,19/11/17,Olympique Lyonnais,Montpellier Hérault SC,0,0,D"
"E0,19/11/17,FC Girondins de Bordeaux,Olympique de Marseille,1,1,D"
"E0,24/11/17,AS Saint-Étienne,RC Strasbourg Alsace,2,2,D"
"E0,25/11/17,Stade Rennais FC,FC Nantes,2,1,H"
"E0,25/11/17,ES Troyes AC,Angers SCO,3,0,H"
"E0,25/11/17,Montpellier Hérault SC,OSC Lille,3,0,H"
"E0,25/11/17,SM Caen,FC Girondins de Bordeaux,1,0,H"
"E0,25/11/17,FC Metz,Amiens SC,0,2,A"
"E0,25/11/17,Dijon FCO,Toulouse FC,3,1,H"
"E0,26/11/17,OGC Nice,Olympique Lyonnais,0,5,A"
"E0,26/11/17,Olympique de Marseille,EA Guingamp,1,0,H"
"E0,26/11/17,AS Monaco FC,Paris Saint-Germain,1,2,A"
"E0,28/11/17,RC Strasbourg Alsace,SM Caen,0,0,D"
"E0,28/11/17,Amiens SC,Dijon FCO,2,1,H"
"E0,28/11/17,FC Girondins de Bordeaux,AS Saint-Étienne,3,0,H"
"E0,29/11/17,EA Guingamp,Montpellier Hérault SC,0,0,D"
"E0,29/11/17,FC Metz,Olympique de Marseille,0,3,A"
"E0,29/11/17,FC Nantes,AS Monaco FC,1,0,H"
"E0,29/11/17,Olympique Lyonnais,OSC Lille,1,2,A"
"E0,29/11/17,Toulouse FC,OGC Nice,1,2,A"
"E0,29/11/17,Angers SCO,Stade Rennais FC,1,2,A"
"E0,29/11/17,Paris Saint-Germain,ES Troyes AC,2,0,H"
"E0,01/12/17,Dijon FCO,FC Girondins de Bordeaux,3,2,H"
"E0,02/12/17,RC Strasbourg Alsace,Paris Saint-Germain,2,1,H"
"E0,02/12/17,Stade Rennais FC,Amiens SC,2,0,H"
"E0,02/12/17,OGC Nice,FC Metz,3,1,H"
"E0,02/12/17,AS Monaco FC,Angers SCO,1,0,H"
"E0,02/12/17,OSC Lille,Toulouse FC,1,0,H"
"E0,02/12/17,ES Troyes AC,EA Guingamp,0,1,A"
"E0,03/12/17,AS Saint-Étienne,FC Nantes,1,1,D"
"E0,03/12/17,SM Caen,Olympique Lyonnais,1,2,A"
"E0,03/12/17,Montpellier Hérault SC,Olympique de Marseille,1,1,D"
"E0,09/12/17,Paris Saint-Germain,OSC Lille,3,1,H"
"E0,09/12/17,Toulouse FC,SM Caen,2,0,H"
"E0,09/12/17,Angers SCO,Montpellier Hérault SC,1,1,D"
"E0,09/12/17,AS Monaco FC,ES Troyes AC,3,2,H"
"E0,09/12/17,FC Metz,Stade Rennais FC,1,1,D"
"E0,09/12/17,EA Guingamp,Dijon FCO,4,0,H"
"E0,09/12/17,FC Girondins de Bordeaux,RC Strasbourg Alsace,0,3,A"
"E0,10/12/17,Amiens SC,Olympique Lyonnais,1,2,A"
"E0,10/12/17,FC Nantes,OGC Nice,1,2,A"
"E0,10/12/17,Olympique de Marseille,AS Saint-Étienne,3,0,H"
"E0,15/12/17,AS Saint-Étienne,AS Monaco FC,0,4,A"
"E0,16/12/17,Stade Rennais FC,Paris Saint-Germain,1,4,A"
"E0,16/12/17,SM Caen,EA Guingamp,0,0,D"
"E0,16/12/17,Dijon FCO,OSC Lille,3,0,H"
