"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,10/02/18,Bayer Leverkusen,Hertha BSC,,,"
"E0,10/02/18,FC Bayern München,FC Schalke 04,,,"
"E0,11/02/18,VfB Stuttgart,Bor. Mönchengladbach,,,"
"E0,11/02/18,Werder Bremen,VfL Wolfsburg,,,"
"E0,17/02/18,FC Augsburg,VfB Stuttgart,,,"
"E0,17/02/18,Bor. Mönchengladbach,Borussia Dortmund,,,"
"E0,17/02/18,Eintracht Frankfurt,Red Bull Leipzig,,,"
"E0,17/02/18,SC Freiburg,Werder Bremen,,,"
"E0,17/02/18,Hamburger SV,Bayer Leverkusen,,,"
"E0,17/02/18,Hertha BSC,1. FSV Mainz 05,,,"
"E0,17/02/18,1. FC Köln,Hannover 96,,,"
"E0,17/02/18,FC Schalke 04,TSG 1899 Hoffenheim,,,"
"E0,17/02/18,VfL Wolfsburg,FC Bayern München,,,"
"E0,24/02/18,Bayer Leverkusen,FC Schalke 04,,,"
"E0,24/02/18,FC Bayern München,Hertha BSC,,,"
"E0,24/02/18,Borussia Dortmund,FC Augsburg,,,"
"E0,24/02/18,Hannover 96,Bor. Mönchengladbach,,,"
"E0,24/02/18,TSG 1899 Hoffenheim,SC Freiburg,,,"
"E0,24/02/18,1. FSV Mainz 05,VfL Wolfsburg,,,"
"E0,24/02/18,Red Bull Leipzig,1. FC Köln,,,"
"E0,24/02/18,VfB Stuttgart,Eintracht Frankfurt,,,"
"E0,24/02/18,Werder Bremen,Hamburger SV,,,"
"E0,03/03/18,FC Augsburg,TSG 1899 Hoffenheim,,,"
"E0,03/03/18,Bor. Mönchengladbach,Werder Bremen,,,"
"E0,03/03/18,Eintracht Frankfurt,Hannover 96,,,"
"E0,03/03/18,SC Freiburg,FC Bayern München,,,"
"E0,03/03/18,Hamburger SV,1. FSV Mainz 05,,,"
"E0,03/03/18,1. FC Köln,VfB Stuttgart,,,"
"E0,03/03/18,Red Bull Leipzig,Borussia Dortmund,,,"
"E0,03/03/18,FC Schalke 04,Hertha BSC,,,"
"E0,03/03/18,VfL Wolfsburg,Bayer Leverkusen,,,"
"E0,10/03/18,Hertha BSC,SC Freiburg,,,"
"E0,10/03/18,Bayer Leverkusen,Bor. Mönchengladbach,,,"
"E0,10/03/18,FC Bayern München,Hamburger SV,,,"
"E0,10/03/18,Borussia Dortmund,Eintracht Frankfurt,,,"
"E0,10/03/18,Hannover 96,FC Augsburg,,,"
"E0,10/03/18,TSG 1899 Hoffenheim,VfL Wolfsburg,,,"
"E0,10/03/18,1. FSV Mainz 05,FC Schalke 04,,,"
"E0,10/03/18,VfB Stuttgart,Red Bull Leipzig,,,"
"E0,10/03/18,Werder Bremen,1. FC Köln,,,"
"E0,17/03/18,Eintracht Frankfurt,1. FSV Mainz 05,,,"
"E0,17/03/18,FC Augsburg,Werder Bremen,,,"
"E0,17/03/18,Borussia Dortmund,Hannover 96,,,"
"E0,17/03/18,Bor. Mönchengladbach,TSG 1899 Hoffenheim,,,"
"E0,17/03/18,SC Freiburg,VfB Stuttgart,,,"
"E0,17/03/18,Hamburger SV,Hertha BSC,,,"
"E0,17/03/18,1. FC Köln,Bayer Leverkusen,,,"
"E0,17/03/18,Red Bull Leipzig,FC Bayern München,,,"
"E0,17/03/18,VfL Wolfsburg,FC Schalke 04,,,"
"E0,31/03/18,Bayer Leverkusen,FC Augsburg,,,"
"E0,31/03/18,FC Bayern München,Borussia Dortmund,,,"
"E0,31/03/18,Hannover 96,Red Bull Leipzig,,,"
"E0,31/03/18,TSG 1899 Hoffenheim,1. FC Köln,,,"
"E0,31/03/18,1. FSV Mainz 05,Bor. Mönchengladbach,,,"
"E0,31/03/18,Hertha BSC,VfL Wolfsburg,,,"
"E0,31/03/18,FC Schalke 04,SC Freiburg,,,"
"E0,31/03/18,VfB Stuttgart,Hamburger SV,,,"
"E0,31/03/18,Werder Bremen,Eintracht Frankfurt,,,"
"E0,07/04/18,FC Augsburg,FC Bayern München,,,"
"E0,07/04/18,Borussia Dortmund,VfB Stuttgart,,,"
"E0,07/04/18,Bor. Mönchengladbach,Hertha BSC,,,"
"E0,07/04/18,Eintracht Frankfurt,TSG 1899 Hoffenheim,,,"
"E0,07/04/18,SC Freiburg,VfL Wolfsburg,,,"
"E0,07/04/18,Hamburger SV,FC Schalke 04,,,"
"E0,07/04/18,Hannover 96,Werder Bremen,,,"
"E0,07/04/18,1. FC Köln,1. FSV Mainz 05,,,"
"E0,07/04/18,Red Bull Leipzig,Bayer Leverkusen,,,"
"E0,14/04/18,Bayer Leverkusen,Eintracht Frankfurt,,,"
"E0,14/04/18,FC Bayern München,Bor. Mönchengladbach,,,"
"E0,14/04/18,Hertha BSC,1. FC Köln,,,"
"E0,14/04/18,TSG 1899 Hoffenheim,Hamburger SV,,,"
"E0,14/04/18,1. FSV Mainz 05,SC Freiburg,,,"
"E0,14/04/18,FC Schalke 04,Borussia Dortmund,,,"
"E0,14/04/18,VfB Stuttgart,Hannover 96,,,"
"E0,14/04/18,Werder Bremen,Red Bull Leipzig,,,"
"E0,14/04/18,VfL Wolfsburg,FC Augsburg,,,"
"E0,21/04/18,FC Augsburg,1. FSV Mainz 05,,,"
"E0,21/04/18,Borussia Dortmund,Bayer Leverkusen,,,"
"E0,21/04/18,Bor. Mönchengladbach,VfL Wolfsburg,,,"
"E0,21/04/18,Eintracht Frankfurt,Hertha BSC,,,"
"E0,21/04/18,Hamburger SV,SC Freiburg,,,"
"E0,21/04/18,Hannover 96,FC Bayern München,,,"
"E0,21/04/18,1. FC Köln,FC Schalke 04,,,"
"E0,21/04/18,Red Bull Leipzig,TSG 1899 Hoffenheim,,,"
"E0,21/04/18,VfB Stuttgart,Werder Bremen,,,"
"E0,28/04/18,Bayer Leverkusen,VfB Stuttgart,,,"
"E0,28/04/18,FC Bayern München,Eintracht Frankfurt,,,"
"E0,28/04/18,SC Freiburg,1. FC Köln,,,"
"E0,28/04/18,Hertha BSC,FC Augsburg,,,"
"E0,28/04/18,TSG 1899 Hoffenheim,Hannover 96,,,"
"E0,28/04/18,1. FSV Mainz 05,Red Bull Leipzig,,,"
"E0,28/04/18,FC Schalke 04,Bor. Mönchengladbach,,,"
"E0,28/04/18,Werder Bremen,Borussia Dortmund,,,"
"E0,28/04/18,VfL Wolfsburg,Hamburger SV,,,"
"E0,05/05/18,Borussia Dortmund,1. FSV Mainz 05,,,"
"E0,05/05/18,Bor. Mönchengladbach,SC Freiburg,,,"
"E0,05/05/18,Eintracht Frankfurt,Hamburger SV,,,"
"E0,05/05/18,Hannover 96,Hertha BSC,,,"
"E0,05/05/18,1. FC Köln,FC Bayern München,,,"
"E0,05/05/18,Red Bull Leipzig,VfL Wolfsburg,,,"
"E0,05/05/18,VfB Stuttgart,TSG 1899 Hoffenheim,,,"
"E0,05/05/18,Werder Bremen,Bayer Leverkusen,,,"
"E0,05/05/18,FC Augsburg,FC Schalke 04,,,"
"E0,12/05/18,FC Bayern München,VfB Stuttgart,,,"
"E0,12/05/18,SC Freiburg,FC Augsburg,,,"
"E0,12/05/18,Hamburger SV,Bor. Mönchengladbach,,,"
"E0,12/05/18,Hertha BSC,Red Bull Leipzig,,,"
"E0,12/05/18,TSG 1899 Hoffenheim,Borussia Dortmund,,,"
"E0,12/05/18,1. FSV Mainz 05,Werder Bremen,,,"
"E0,12/05/18,FC Schalke 04,Eintracht Frankfurt,,,"
